☑️,ID,Parent ID,Уровень,Путь в иерархии,Название категории,URL,Товаров,В наличии,SEO статус,AI статус,Обновлено,Админка
false,18067118,26065675,2,Каталог > Бинокли по брендам > Бинокли Vortex,    └─ Бинокли Vortex,/collection/vortex,21,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/18067118
false,21695513,18067118,1,Каталог > Бинокли по брендам > Бинокли Vortex > Vortex Diamondback,  └─ Vortex Diamondback,/collection/binokli-vortex-diamondback,7,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695513
false,21695532,18067118,1,Каталог > Бинокли по брендам > Бинокли Vortex > Vortex Crossfire,  └─ Vortex Crossfire,/collection/binokli-vortex-crossfire,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695532
false,21695543,18067118,1,Каталог > Бинокли по брендам > Бинокли Vortex > Vortex Raptor,  └─ Vortex Raptor,/collection/binokli-vortex-raptor,2,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695543
false,21695963,18067118,1,Каталог > Бинокли по брендам > Бинокли Vortex > Vortex Razor,  └─ Vortex Razor,/collection/binokli-vortex-razor,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695963
false,18067260,26065675,2,Каталог > Бинокли по брендам > Бинокли Следопыт,    └─ Бинокли Следопыт,/collection/sledopyt,8,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/18067260
false,18069438,26065675,2,Каталог > Бинокли по брендам > Бинокли Rekam,    └─ Бинокли Rekam,/collection/rekam,3,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/18069438
false,21691857,26065675,2,Каталог > Бинокли по брендам > Бинокли ATN,    └─ Бинокли ATN,/collection/binokli-atn,1,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21691857
false,21696048,26065675,2,Каталог > Бинокли по брендам > Бинокли Фарвижн,    └─ Бинокли Фарвижн,/collection/binokli-farvizhn,2,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21696048
false,21696116,26065675,2,Каталог > Бинокли по брендам > Бинокли ЗОМЗ,    └─ Бинокли ЗОМЗ,/collection/binokli-zomz,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21696116
false,21696134,26065675,2,Каталог > Бинокли по брендам > Бинокли Sightmark,    └─ Бинокли Sightmark,/collection/binokli-sightmark-saytmark,2,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21696134
false,21703527,26065675,2,Каталог > Бинокли по брендам > Бинокли Kahles,    └─ Бинокли Kahles,/collection/binokli-kahles,2,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21703527
false,21704394,26065675,2,Каталог > Бинокли по брендам > Бинокли Pulsar,    └─ Бинокли Pulsar,/collection/binokli-pulsar-pulsar,3,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21704394
false,21927403,26065675,2,Каталог > Бинокли по брендам > Бинокли GPO,    └─ Бинокли GPO,/collection/binokli-gpo,5,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21927403
false,21927254,26065675,2,Каталог > Бинокли по брендам > Бинокли Navir,    └─ Бинокли Navir,/collection/binokli-navir,6,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21927254
false,9071719,26065675,2,Каталог > Бинокли по брендам > Бинокли Tasco,    └─ Бинокли Tasco,/collection/tasco,12,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9071719
false,9171666,26065675,2,Каталог > Бинокли по брендам > Бинокли Celestron,    └─ Бинокли Celestron,/collection/binokli-celestron,26,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171666
false,9171667,9171666,1,Каталог > Бинокли по брендам > Бинокли Celestron > Celestron Nature DX,  └─ Celestron Nature DX,/collection/celestron-nature-dx,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171667
false,9171728,9171666,1,Каталог > Бинокли по брендам > Бинокли Celestron > Celestron UpClose G2,  └─ Celestron UpClose G2,/collection/celestron-upclose-g2,10,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171728
false,9171730,9171666,1,Каталог > Бинокли по брендам > Бинокли Celestron > Celestron LandScout,  └─ Celestron LandScout,/collection/celestron-landscout,3,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171730
false,9171731,9171666,1,Каталог > Бинокли по брендам > Бинокли Celestron > Celestron Outland X,  └─ Celestron Outland X,/collection/celestron-outland-x,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171731
false,9171734,9171666,1,Каталог > Бинокли по брендам > Бинокли Celestron > Celestron Cometron,  └─ Celestron Cometron,/collection/celestron-cometron,1,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171734
false,9171736,9171666,1,Каталог > Бинокли по брендам > Бинокли Celestron > Celestron SkyMaster,  └─ Celestron SkyMaster,/collection/celestron-skymaster,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171736
false,9171813,26065675,2,Каталог > Бинокли по брендам > Бинокли Yukon,    └─ Бинокли Yukon,/collection/binokli-yukon,28,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171813
false,9171814,9171813,1,Каталог > Бинокли по брендам > Бинокли Yukon > Yukon Sideview,  └─ Yukon Sideview,/collection/yukon-sideview,2,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171814
false,9171851,9171813,1,Каталог > Бинокли по брендам > Бинокли Yukon > Yukon Porro,  └─ Yukon Porro,/collection/yukon-porro,5,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171851
false,9171863,9171813,1,Каталог > Бинокли по брендам > Бинокли Yukon > Yukon Pro,  └─ Yukon Pro,/collection/yukon-pro-porro,6,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171863
false,9171852,9171813,1,Каталог > Бинокли по брендам > Бинокли Yukon > Yukon Solaris,  └─ Yukon Solaris,/collection/yukon-solaris,3,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171852
false,9171853,9171813,1,Каталог > Бинокли по брендам > Бинокли Yukon > Yukon Woodworth,  └─ Yukon Woodworth,/collection/yukon-woodworth-wa,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171853
false,9171867,9171813,1,Каталог > Бинокли по брендам > Бинокли Yukon > Yukon Point,  └─ Yukon Point,/collection/yukon-point,2,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171867
false,9171870,9171813,1,Каталог > Бинокли по брендам > Бинокли Yukon > Yukon Expert,  └─ Yukon Expert,/collection/yukon-expert,2,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9171870
false,21692718,9171813,1,Каталог > Бинокли по брендам > Бинокли Yukon > Yukon WA,  └─ Yukon WA,/collection/binokli-yukon-wa,14,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21692718
false,21692732,9171813,1,Каталог > Бинокли по брендам > Бинокли Yukon > Бинокли ночного видения Yukon NVB,  └─ Бинокли ночного видения Yukon NVB,/collection/binokli-nochnogo-videniya-yukon,2,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21692732
